Select,Source,Target,Interaction Type,Mechanism,Reference Text,Page,Filename
TRUE,glucocerebrosidase,glucosylceramide,negative,glucocerebrosidase deficiency leads to glucosylceramide accumulation,"Gaucher's disease arises as a lack of Œ≤-glucocerebrosidase, an enzyme involved in lysosomal biochemistry, which leads to accumulation of the substrate, glucosylceramide.",3,"Mehta, A. Epidemiology and natural history of Gaucherís disease. Eur J Intern Med 17 Suppl, S2ñ5 (2006)."
TRUE,macrophages,red and white blood cells,binding,macrophages engulf waste material,The affected cells are macrophages which have a very important role in scavenging waste material such as red and white blood cells.,4,"Mehta, A. Epidemiology and natural history of Gaucherís disease. Eur J Intern Med 17 Suppl, S2ñ5 (2006)."
TRUE,macrophages,il-6,positive,macrophages secrete il-6 in response to substrate accumulation,"In Gaucher's disease, macrophages are activated and they secrete cytokines, particularly those involved in inflammation, such as IL-6.",3,"Mehta, A. Epidemiology and natural history of Gaucherís disease. Eur J Intern Med 17 Suppl, S2ñ5 (2006)."
TRUE,macrophages,b cells,regulatory,macrophage disturbances lead to changes in immune system,"They also show increased expression of a range of genes, which lead to changes in the immune system, such as changes in the expression of macrophage surface molecules, in B cells, NK cells and T cells.",3,"Mehta, A. Epidemiology and natural history of Gaucherís disease. Eur J Intern Med 17 Suppl, S2ñ5 (2006)."
TRUE,miglustat,glucosylceramide synthase,negative,miglustat inhibits glucosylceramide synthase,"Miglustat inhibits glycosylceramide synthase, which catalyzes the transfer of glucose from UDP-glucose to ceramide to form glucosylceramide.",3,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,glucocerebrosidase,glucosylceramide,positive,glucocerebrosidase breaks down glucosylceramide,Imiglucerase acts like the naturally occurring enzyme glucocerebrosidase to break down the glucosylceramide that has accumulated in Gaucher cells.,2,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,miglustat,glccer synthase,negative,miglustat inhibits glccer synthase,NB-DNJ is an inhibitor of GlcCer synthase...,4,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,glucocerebrosidase,glccer,positive,increased glucocerebrosidase activity leads to glccer clearance,The efÔ¨Åcacy of miglustat... results from... an increase in the activity of glucocerebrosidase.,4,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,glccer,glucocerebrosidase,negative,glccer accumulation inhibits glucocerebrosidase activity,Patients with significant residual enzyme activity can break down GlcCer more efficiently...,4,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,miglustat,glycosphingolipids (gsl),negative,miglustat reduces gsl biosynthesis,The efÔ¨Åcacy of miglustat... results from both a decrease in the biosynthesis of GlcCer...,4,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,miglustat,chitotriosidase,negative,chitotriosidase levels decrease with miglustat treatment,Chitotriosidase levels fell by 16.4% over 12 months...,5,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,miglustat,glucocerebrosidase,positive,miglustat may partially increase glucocerebrosidase activity,Miglustat...may partially increase glucocerebrosidase enzyme activity...,6,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,glucocerebroside,macrophages,positive,accumulation of glucocerebroside in macrophages,The result is widespread accumulation of macrophages engorged with predominantly lysosomal glucocerebroside.,6,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,miglustat,disaccharidases,negative,miglustat causes inhibition of disaccharidase activity,Diarrhea is probably due to inhibition of disaccharidase activity by miglustat...,6,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,miglustat,gastrointestinal system,negative,miglustat leads to gastrointestinal symptoms,Diarrhea and weight loss were common in the clinical studies...,6,"Ficicioglu, C. Review of miglustat for clinical management in Gaucher disease type 1. Ther Clin Risk Manag 4, 425ñ431 (2008)."
TRUE,glucosylceramide,glucosylsphingosine,positive,glucosylceramide is converted into glucosylsphingosine by ceramidase,"By pathways that are not fully understood, but which may involve ceramidase, glucosylceramide is converted into glucosylsphingosine...",2,"Baris, H. N., Cohen, I. J. & Mistry, P. K. Gaucher disease: the metabolic defect, pathophysiology, phenotypes and natural history. Pediatr Endocrinol Rev 12 Suppl 1, 72ñ81 (2014)."
TRUE,gaucher cells,bone marrow,negative,gaucher cells cause cytopenia through hypersplenism,Accumulation in the bone marrow together with hypersplenism results in cytopenia...,3,"Baris, H. N., Cohen, I. J. & Mistry, P. K. Gaucher disease: the metabolic defect, pathophysiology, phenotypes and natural history. Pediatr Endocrinol Rev 12 Suppl 1, 72ñ81 (2014)."
TRUE,gaucher cells,lung parenchyma,positive,accumulation of gaucher cells in lung parenchyma leads to infiltrative lung disease.,"With time, the majority of GD2 and GD3 patients develop infiltrative lung disease...",4,"Baris, H. N., Cohen, I. J. & Mistry, P. K. Gaucher disease: the metabolic defect, pathophysiology, phenotypes and natural history. Pediatr Endocrinol Rev 12 Suppl 1, 72ñ81 (2014)."
TRUE,acid B-glucosidase,glucosylceramide,negative,acid B-glucosidase deficiency leads to accumulation of glucosylceramide,Deficiency of acid Œ≤-glucosidase in GD arises from biallelic mutations in GBA...,6,"Baris, H. N., Cohen, I. J. & Mistry, P. K. Gaucher disease: the metabolic defect, pathophysiology, phenotypes and natural history. Pediatr Endocrinol Rev 12 Suppl 1, 72ñ81 (2014)."
TRUE,gba1,acid glucocerebrosidase,positive,"gba1 gene encodes acid glucocerebrosidase, which breaks down glucosylceramide.",Gaucher disease is caused by mutations in the GBA1 gene which encodes acid glucocerebrosidase...,1,"Biegstraaten, M. et al. Management goals for type 1 Gaucher disease: An expert consensus document from the European working group on Gaucher disease. Blood Cells Mol Dis 68, 203ñ208 (2018)."
TRUE,acid glucocerebrosidase,glucosylceramide,negative,acid glucocerebrosidase reduces glucosylceramide levels in macrophages.,Reduced activity of this enzyme leads to a build-up of glucosylceramide...,1,"Biegstraaten, M. et al. Management goals for type 1 Gaucher disease: An expert consensus document from the European working group on Gaucher disease. Blood Cells Mol Dis 68, 203ñ208 (2018)."
TRUE,ert,acid glucocerebrosidase,positive,enzyme replacement therapy (ert) increases acid glucocerebrosidase activity.,Intravenously administered ERT is targeted to macrophages and increases the breakdown of the accumulated glycolipids...,1,"Biegstraaten, M. et al. Management goals for type 1 Gaucher disease: An expert consensus document from the European working group on Gaucher disease. Blood Cells Mol Dis 68, 203ñ208 (2018)."
